"Date","1101"
" 89/01/04","1759868400"
" 89/01/05","2784311570"
" 89/01/06","1365304548"
" 89/01/07","1530665999"
" 89/01/10","1422549029"
" 89/01/11","1452286120"
" 89/01/12","745506196"
" 89/01/13","1638678533"
" 89/01/14","684607089"
" 89/01/15","475070669"
" 89/01/17","1211213600"
" 89/01/18","534892469"
" 89/01/19","1135435321"
" 89/01/20","3246441641"
" 89/01/21","4066474171"
" 89/01/24","3388493292"
" 89/01/25","1483839812"
" 89/01/26","2743501834"
" 89/01/27","1437199403"
" 89/01/28","1195225754"
" 89/01/29","1110990513"
" 89/01/31","891610500"
